ST,CB,PB,GO,CA,Methodology,Rebal.
100,0,0,0,0,1-OFF,NO
100,0,0,0,0,1-OFF,YES
100,0,0,0,0,DCA,NO
100,0,0,0,0,DCA,YES
95,5,0,0,0,1-OFF,NO
95,5,0,0,0,1-OFF,YES
95,5,0,0,0,DCA,NO
95,5,0,0,0,DCA,YES
95,0,5,0,0,1-OFF,NO
95,0,5,0,0,1-OFF,YES
95,0,5,0,0,DCA,NO
95,0,5,0,0,DCA,YES
95,0,0,5,0,1-OFF,NO
95,0,0,5,0,1-OFF,YES
95,0,0,5,0,DCA,NO
95,0,0,5,0,DCA,YES
95,0,0,0,5,1-OFF,NO
95,0,0,0,5,1-OFF,YES
95,0,0,0,5,DCA,NO
95,0,0,0,5,DCA,YES
90,10,0,0,0,1-OFF,NO
90,10,0,0,0,1-OFF,YES
90,10,0,0,0,DCA,NO
90,10,0,0,0,DCA,YES
90,5,5,0,0,1-OFF,NO
90,5,5,0,0,1-OFF,YES
90,5,5,0,0,DCA,NO
90,5,5,0,0,DCA,YES
90,5,0,5,0,1-OFF,NO
90,5,0,5,0,1-OFF,YES
90,5,0,5,0,DCA,NO
90,5,0,5,0,DCA,YES
90,5,0,0,5,1-OFF,NO
90,5,0,0,5,1-OFF,YES
90,5,0,0,5,DCA,NO
90,5,0,0,5,DCA,YES
90,0,10,0,0,1-OFF,NO
90,0,10,0,0,1-OFF,YES
90,0,10,0,0,DCA,NO
90,0,10,0,0,DCA,YES
90,0,5,5,0,1-OFF,NO
90,0,5,5,0,1-OFF,YES
90,0,5,5,0,DCA,NO
90,0,5,5,0,DCA,YES
90,0,5,0,5,1-OFF,NO
90,0,5,0,5,1-OFF,YES
90,0,5,0,5,DCA,NO
90,0,5,0,5,DCA,YES
90,0,0,10,0,1-OFF,NO
90,0,0,10,0,1-OFF,YES
90,0,0,10,0,DCA,NO
90,0,0,10,0,DCA,YES
90,0,0,5,5,1-OFF,NO
90,0,0,5,5,1-OFF,YES
90,0,0,5,5,DCA,NO
90,0,0,5,5,DCA,YES
90,0,0,0,10,1-OFF,NO
90,0,0,0,10,1-OFF,YES
90,0,0,0,10,DCA,NO
90,0,0,0,10,DCA,YES
85,15,0,0,0,1-OFF,NO
85,15,0,0,0,1-OFF,YES
85,15,0,0,0,DCA,NO
85,15,0,0,0,DCA,YES
85,10,5,0,0,1-OFF,NO
85,10,5,0,0,1-OFF,YES
85,10,5,0,0,DCA,NO
85,10,5,0,0,DCA,YES
85,10,0,5,0,1-OFF,NO
85,10,0,5,0,1-OFF,YES
85,10,0,5,0,DCA,NO
85,10,0,5,0,DCA,YES
85,10,0,0,5,1-OFF,NO
85,10,0,0,5,1-OFF,YES
85,10,0,0,5,DCA,NO
85,10,0,0,5,DCA,YES
85,5,10,0,0,1-OFF,NO
85,5,10,0,0,1-OFF,YES
85,5,10,0,0,DCA,NO
85,5,10,0,0,DCA,YES
85,5,5,5,0,1-OFF,NO
85,5,5,5,0,1-OFF,YES
85,5,5,5,0,DCA,NO
85,5,5,5,0,DCA,YES
85,5,5,0,5,1-OFF,NO
85,5,5,0,5,1-OFF,YES
85,5,5,0,5,DCA,NO
85,5,5,0,5,DCA,YES
85,5,0,10,0,1-OFF,NO
85,5,0,10,0,1-OFF,YES
85,5,0,10,0,DCA,NO
85,5,0,10,0,DCA,YES
85,5,0,5,5,1-OFF,NO
85,5,0,5,5,1-OFF,YES
85,5,0,5,5,DCA,NO
85,5,0,5,5,DCA,YES
85,5,0,0,10,1-OFF,NO
85,5,0,0,10,1-OFF,YES
85,5,0,0,10,DCA,NO
85,5,0,0,10,DCA,YES
85,0,15,0,0,1-OFF,NO
85,0,15,0,0,1-OFF,YES
85,0,15,0,0,DCA,NO
85,0,15,0,0,DCA,YES
85,0,10,5,0,1-OFF,NO
85,0,10,5,0,1-OFF,YES
85,0,10,5,0,DCA,NO
85,0,10,5,0,DCA,YES
85,0,10,0,5,1-OFF,NO
85,0,10,0,5,1-OFF,YES
85,0,10,0,5,DCA,NO
85,0,10,0,5,DCA,YES
85,0,5,10,0,1-OFF,NO
85,0,5,10,0,1-OFF,YES
85,0,5,10,0,DCA,NO
85,0,5,10,0,DCA,YES
85,0,5,5,5,1-OFF,NO
85,0,5,5,5,1-OFF,YES
85,0,5,5,5,DCA,NO
85,0,5,5,5,DCA,YES
85,0,5,0,10,1-OFF,NO
85,0,5,0,10,1-OFF,YES
85,0,5,0,10,DCA,NO
85,0,5,0,10,DCA,YES
85,0,0,15,0,1-OFF,NO
85,0,0,15,0,1-OFF,YES
85,0,0,15,0,DCA,NO
85,0,0,15,0,DCA,YES
85,0,0,10,5,1-OFF,NO
85,0,0,10,5,1-OFF,YES
85,0,0,10,5,DCA,NO
85,0,0,10,5,DCA,YES
85,0,0,5,10,1-OFF,NO
85,0,0,5,10,1-OFF,YES
85,0,0,5,10,DCA,NO
85,0,0,5,10,DCA,YES
85,0,0,0,15,1-OFF,NO
85,0,0,0,15,1-OFF,YES
85,0,0,0,15,DCA,NO
85,0,0,0,15,DCA,YES
80,20,0,0,0,1-OFF,NO
80,20,0,0,0,1-OFF,YES
80,20,0,0,0,DCA,NO
80,20,0,0,0,DCA,YES
80,15,5,0,0,1-OFF,NO
80,15,5,0,0,1-OFF,YES
80,15,5,0,0,DCA,NO
80,15,5,0,0,DCA,YES
80,15,0,5,0,1-OFF,NO
80,15,0,5,0,1-OFF,YES
80,15,0,5,0,DCA,NO
80,15,0,5,0,DCA,YES
80,15,0,0,5,1-OFF,NO
80,15,0,0,5,1-OFF,YES
80,15,0,0,5,DCA,NO
80,15,0,0,5,DCA,YES
80,10,10,0,0,1-OFF,NO
80,10,10,0,0,1-OFF,YES
80,10,10,0,0,DCA,NO
80,10,10,0,0,DCA,YES
80,10,5,5,0,1-OFF,NO
80,10,5,5,0,1-OFF,YES
80,10,5,5,0,DCA,NO
80,10,5,5,0,DCA,YES
80,10,5,0,5,1-OFF,NO
80,10,5,0,5,1-OFF,YES
80,10,5,0,5,DCA,NO
80,10,5,0,5,DCA,YES
80,10,0,10,0,1-OFF,NO
80,10,0,10,0,1-OFF,YES
80,10,0,10,0,DCA,NO
80,10,0,10,0,DCA,YES
80,10,0,5,5,1-OFF,NO
80,10,0,5,5,1-OFF,YES
80,10,0,5,5,DCA,NO
80,10,0,5,5,DCA,YES
80,10,0,0,10,1-OFF,NO
80,10,0,0,10,1-OFF,YES
80,10,0,0,10,DCA,NO
80,10,0,0,10,DCA,YES
80,5,15,0,0,1-OFF,NO
80,5,15,0,0,1-OFF,YES
80,5,15,0,0,DCA,NO
80,5,15,0,0,DCA,YES
80,5,10,5,0,1-OFF,NO
80,5,10,5,0,1-OFF,YES
80,5,10,5,0,DCA,NO
80,5,10,5,0,DCA,YES
80,5,10,0,5,1-OFF,NO
80,5,10,0,5,1-OFF,YES
80,5,10,0,5,DCA,NO
80,5,10,0,5,DCA,YES
80,5,5,10,0,1-OFF,NO
80,5,5,10,0,1-OFF,YES
80,5,5,10,0,DCA,NO
80,5,5,10,0,DCA,YES
80,5,5,5,5,1-OFF,NO
80,5,5,5,5,1-OFF,YES
80,5,5,5,5,DCA,NO
80,5,5,5,5,DCA,YES
80,5,5,0,10,1-OFF,NO
80,5,5,0,10,1-OFF,YES
80,5,5,0,10,DCA,NO
80,5,5,0,10,DCA,YES
80,5,0,15,0,1-OFF,NO
80,5,0,15,0,1-OFF,YES
80,5,0,15,0,DCA,NO
80,5,0,15,0,DCA,YES
80,5,0,10,5,1-OFF,NO
80,5,0,10,5,1-OFF,YES
80,5,0,10,5,DCA,NO
80,5,0,10,5,DCA,YES
80,5,0,5,10,1-OFF,NO
80,5,0,5,10,1-OFF,YES
80,5,0,5,10,DCA,NO
80,5,0,5,10,DCA,YES
80,5,0,0,15,1-OFF,NO
80,5,0,0,15,1-OFF,YES
80,5,0,0,15,DCA,NO
80,5,0,0,15,DCA,YES
80,0,20,0,0,1-OFF,NO
80,0,20,0,0,1-OFF,YES
80,0,20,0,0,DCA,NO
80,0,20,0,0,DCA,YES
80,0,15,5,0,1-OFF,NO
80,0,15,5,0,1-OFF,YES
80,0,15,5,0,DCA,NO
80,0,15,5,0,DCA,YES
80,0,15,0,5,1-OFF,NO
80,0,15,0,5,1-OFF,YES
80,0,15,0,5,DCA,NO
80,0,15,0,5,DCA,YES
80,0,10,10,0,1-OFF,NO
80,0,10,10,0,1-OFF,YES
80,0,10,10,0,DCA,NO
80,0,10,10,0,DCA,YES
80,0,10,5,5,1-OFF,NO
80,0,10,5,5,1-OFF,YES
80,0,10,5,5,DCA,NO
80,0,10,5,5,DCA,YES
80,0,10,0,10,1-OFF,NO
80,0,10,0,10,1-OFF,YES
80,0,10,0,10,DCA,NO
80,0,10,0,10,DCA,YES
80,0,5,15,0,1-OFF,NO
80,0,5,15,0,1-OFF,YES
80,0,5,15,0,DCA,NO
80,0,5,15,0,DCA,YES
80,0,5,10,5,1-OFF,NO
80,0,5,10,5,1-OFF,YES
80,0,5,10,5,DCA,NO
80,0,5,10,5,DCA,YES
80,0,5,5,10,1-OFF,NO
80,0,5,5,10,1-OFF,YES
80,0,5,5,10,DCA,NO
80,0,5,5,10,DCA,YES
80,0,5,0,15,1-OFF,NO
80,0,5,0,15,1-OFF,YES
80,0,5,0,15,DCA,NO
80,0,5,0,15,DCA,YES
80,0,0,20,0,1-OFF,NO
80,0,0,20,0,1-OFF,YES
80,0,0,20,0,DCA,NO
80,0,0,20,0,DCA,YES
80,0,0,15,5,1-OFF,NO
80,0,0,15,5,1-OFF,YES
80,0,0,15,5,DCA,NO
80,0,0,15,5,DCA,YES
80,0,0,10,10,1-OFF,NO
80,0,0,10,10,1-OFF,YES
80,0,0,10,10,DCA,NO
80,0,0,10,10,DCA,YES
80,0,0,5,15,1-OFF,NO
80,0,0,5,15,1-OFF,YES
80,0,0,5,15,DCA,NO
80,0,0,5,15,DCA,YES
80,0,0,0,20,1-OFF,NO
80,0,0,0,20,1-OFF,YES
80,0,0,0,20,DCA,NO
80,0,0,0,20,DCA,YES
75,25,0,0,0,1-OFF,NO
75,25,0,0,0,1-OFF,YES
75,25,0,0,0,DCA,NO
75,25,0,0,0,DCA,YES
75,20,5,0,0,1-OFF,NO
75,20,5,0,0,1-OFF,YES
75,20,5,0,0,DCA,NO
75,20,5,0,0,DCA,YES
75,20,0,5,0,1-OFF,NO
75,20,0,5,0,1-OFF,YES
75,20,0,5,0,DCA,NO
75,20,0,5,0,DCA,YES
75,20,0,0,5,1-OFF,NO
75,20,0,0,5,1-OFF,YES
75,20,0,0,5,DCA,NO
75,20,0,0,5,DCA,YES
75,15,10,0,0,1-OFF,NO
75,15,10,0,0,1-OFF,YES
75,15,10,0,0,DCA,NO
75,15,10,0,0,DCA,YES
75,15,5,5,0,1-OFF,NO
75,15,5,5,0,1-OFF,YES
75,15,5,5,0,DCA,NO
75,15,5,5,0,DCA,YES
75,15,5,0,5,1-OFF,NO
75,15,5,0,5,1-OFF,YES
75,15,5,0,5,DCA,NO
75,15,5,0,5,DCA,YES
75,15,0,10,0,1-OFF,NO
75,15,0,10,0,1-OFF,YES
75,15,0,10,0,DCA,NO
75,15,0,10,0,DCA,YES
75,15,0,5,5,1-OFF,NO
75,15,0,5,5,1-OFF,YES
75,15,0,5,5,DCA,NO
75,15,0,5,5,DCA,YES
75,15,0,0,10,1-OFF,NO
75,15,0,0,10,1-OFF,YES
75,15,0,0,10,DCA,NO
75,15,0,0,10,DCA,YES
75,10,15,0,0,1-OFF,NO
75,10,15,0,0,1-OFF,YES
75,10,15,0,0,DCA,NO
75,10,15,0,0,DCA,YES
75,10,10,5,0,1-OFF,NO
75,10,10,5,0,1-OFF,YES
75,10,10,5,0,DCA,NO
75,10,10,5,0,DCA,YES
75,10,10,0,5,1-OFF,NO
75,10,10,0,5,1-OFF,YES
75,10,10,0,5,DCA,NO
75,10,10,0,5,DCA,YES
75,10,5,10,0,1-OFF,NO
75,10,5,10,0,1-OFF,YES
75,10,5,10,0,DCA,NO
75,10,5,10,0,DCA,YES
75,10,5,5,5,1-OFF,NO
75,10,5,5,5,1-OFF,YES
75,10,5,5,5,DCA,NO
75,10,5,5,5,DCA,YES
75,10,5,0,10,1-OFF,NO
75,10,5,0,10,1-OFF,YES
75,10,5,0,10,DCA,NO
75,10,5,0,10,DCA,YES
75,10,0,15,0,1-OFF,NO
75,10,0,15,0,1-OFF,YES
75,10,0,15,0,DCA,NO
75,10,0,15,0,DCA,YES
75,10,0,10,5,1-OFF,NO
75,10,0,10,5,1-OFF,YES
75,10,0,10,5,DCA,NO
75,10,0,10,5,DCA,YES
75,10,0,5,10,1-OFF,NO
75,10,0,5,10,1-OFF,YES
75,10,0,5,10,DCA,NO
75,10,0,5,10,DCA,YES
75,10,0,0,15,1-OFF,NO
75,10,0,0,15,1-OFF,YES
75,10,0,0,15,DCA,NO
75,10,0,0,15,DCA,YES
75,5,20,0,0,1-OFF,NO
75,5,20,0,0,1-OFF,YES
75,5,20,0,0,DCA,NO
75,5,20,0,0,DCA,YES
75,5,15,5,0,1-OFF,NO
75,5,15,5,0,1-OFF,YES
75,5,15,5,0,DCA,NO
75,5,15,5,0,DCA,YES
75,5,15,0,5,1-OFF,NO
75,5,15,0,5,1-OFF,YES
75,5,15,0,5,DCA,NO
75,5,15,0,5,DCA,YES
75,5,10,10,0,1-OFF,NO
75,5,10,10,0,1-OFF,YES
75,5,10,10,0,DCA,NO
75,5,10,10,0,DCA,YES
75,5,10,5,5,1-OFF,NO
75,5,10,5,5,1-OFF,YES
75,5,10,5,5,DCA,NO
75,5,10,5,5,DCA,YES
75,5,10,0,10,1-OFF,NO
75,5,10,0,10,1-OFF,YES
75,5,10,0,10,DCA,NO
75,5,10,0,10,DCA,YES
75,5,5,15,0,1-OFF,NO
75,5,5,15,0,1-OFF,YES
75,5,5,15,0,DCA,NO
75,5,5,15,0,DCA,YES
75,5,5,10,5,1-OFF,NO
75,5,5,10,5,1-OFF,YES
75,5,5,10,5,DCA,NO
75,5,5,10,5,DCA,YES
75,5,5,5,10,1-OFF,NO
75,5,5,5,10,1-OFF,YES
75,5,5,5,10,DCA,NO
75,5,5,5,10,DCA,YES
75,5,5,0,15,1-OFF,NO
75,5,5,0,15,1-OFF,YES
75,5,5,0,15,DCA,NO
75,5,5,0,15,DCA,YES
75,5,0,20,0,1-OFF,NO
75,5,0,20,0,1-OFF,YES
75,5,0,20,0,DCA,NO
75,5,0,20,0,DCA,YES
75,5,0,15,5,1-OFF,NO
75,5,0,15,5,1-OFF,YES
75,5,0,15,5,DCA,NO
75,5,0,15,5,DCA,YES
75,5,0,10,10,1-OFF,NO
75,5,0,10,10,1-OFF,YES
75,5,0,10,10,DCA,NO
75,5,0,10,10,DCA,YES
75,5,0,5,15,1-OFF,NO
75,5,0,5,15,1-OFF,YES
75,5,0,5,15,DCA,NO
75,5,0,5,15,DCA,YES
75,5,0,0,20,1-OFF,NO
75,5,0,0,20,1-OFF,YES
75,5,0,0,20,DCA,NO
75,5,0,0,20,DCA,YES
75,0,25,0,0,1-OFF,NO
75,0,25,0,0,1-OFF,YES
75,0,25,0,0,DCA,NO
75,0,25,0,0,DCA,YES
75,0,20,5,0,1-OFF,NO
75,0,20,5,0,1-OFF,YES
75,0,20,5,0,DCA,NO
75,0,20,5,0,DCA,YES
75,0,20,0,5,1-OFF,NO
75,0,20,0,5,1-OFF,YES
75,0,20,0,5,DCA,NO
75,0,20,0,5,DCA,YES
75,0,15,10,0,1-OFF,NO
75,0,15,10,0,1-OFF,YES
75,0,15,10,0,DCA,NO
75,0,15,10,0,DCA,YES
75,0,15,5,5,1-OFF,NO
75,0,15,5,5,1-OFF,YES
75,0,15,5,5,DCA,NO
75,0,15,5,5,DCA,YES
75,0,15,0,10,1-OFF,NO
75,0,15,0,10,1-OFF,YES
75,0,15,0,10,DCA,NO
75,0,15,0,10,DCA,YES
75,0,10,15,0,1-OFF,NO
75,0,10,15,0,1-OFF,YES
75,0,10,15,0,DCA,NO
75,0,10,15,0,DCA,YES
75,0,10,10,5,1-OFF,NO
75,0,10,10,5,1-OFF,YES
75,0,10,10,5,DCA,NO
75,0,10,10,5,DCA,YES
75,0,10,5,10,1-OFF,NO
75,0,10,5,10,1-OFF,YES
75,0,10,5,10,DCA,NO
75,0,10,5,10,DCA,YES
75,0,10,0,15,1-OFF,NO
75,0,10,0,15,1-OFF,YES
75,0,10,0,15,DCA,NO
75,0,10,0,15,DCA,YES
75,0,5,20,0,1-OFF,NO
75,0,5,20,0,1-OFF,YES
75,0,5,20,0,DCA,NO
75,0,5,20,0,DCA,YES
75,0,5,15,5,1-OFF,NO
75,0,5,15,5,1-OFF,YES
75,0,5,15,5,DCA,NO
75,0,5,15,5,DCA,YES
75,0,5,10,10,1-OFF,NO
75,0,5,10,10,1-OFF,YES
75,0,5,10,10,DCA,NO
75,0,5,10,10,DCA,YES
75,0,5,5,15,1-OFF,NO
75,0,5,5,15,1-OFF,YES
75,0,5,5,15,DCA,NO
75,0,5,5,15,DCA,YES
75,0,5,0,20,1-OFF,NO
75,0,5,0,20,1-OFF,YES
75,0,5,0,20,DCA,NO
75,0,5,0,20,DCA,YES
75,0,0,25,0,1-OFF,NO
75,0,0,25,0,1-OFF,YES
75,0,0,25,0,DCA,NO
75,0,0,25,0,DCA,YES
75,0,0,20,5,1-OFF,NO
75,0,0,20,5,1-OFF,YES
75,0,0,20,5,DCA,NO
75,0,0,20,5,DCA,YES
75,0,0,15,10,1-OFF,NO
75,0,0,15,10,1-OFF,YES
75,0,0,15,10,DCA,NO
75,0,0,15,10,DCA,YES
75,0,0,10,15,1-OFF,NO
75,0,0,10,15,1-OFF,YES
75,0,0,10,15,DCA,NO
75,0,0,10,15,DCA,YES
75,0,0,5,20,1-OFF,NO
75,0,0,5,20,1-OFF,YES
75,0,0,5,20,DCA,NO
75,0,0,5,20,DCA,YES
75,0,0,0,25,1-OFF,NO
75,0,0,0,25,1-OFF,YES
75,0,0,0,25,DCA,NO
75,0,0,0,25,DCA,YES
70,30,0,0,0,1-OFF,NO
70,30,0,0,0,1-OFF,YES
70,30,0,0,0,DCA,NO
70,30,0,0,0,DCA,YES
70,25,5,0,0,1-OFF,NO
70,25,5,0,0,1-OFF,YES
70,25,5,0,0,DCA,NO
70,25,5,0,0,DCA,YES
70,25,0,5,0,1-OFF,NO
70,25,0,5,0,1-OFF,YES
70,25,0,5,0,DCA,NO
70,25,0,5,0,DCA,YES
70,25,0,0,5,1-OFF,NO
70,25,0,0,5,1-OFF,YES
70,25,0,0,5,DCA,NO
70,25,0,0,5,DCA,YES
70,20,10,0,0,1-OFF,NO
70,20,10,0,0,1-OFF,YES
70,20,10,0,0,DCA,NO
70,20,10,0,0,DCA,YES
70,20,5,5,0,1-OFF,NO
70,20,5,5,0,1-OFF,YES
70,20,5,5,0,DCA,NO
70,20,5,5,0,DCA,YES
70,20,5,0,5,1-OFF,NO
70,20,5,0,5,1-OFF,YES
70,20,5,0,5,DCA,NO
70,20,5,0,5,DCA,YES
70,20,0,10,0,1-OFF,NO
70,20,0,10,0,1-OFF,YES
70,20,0,10,0,DCA,NO
70,20,0,10,0,DCA,YES
70,20,0,5,5,1-OFF,NO
70,20,0,5,5,1-OFF,YES
70,20,0,5,5,DCA,NO
70,20,0,5,5,DCA,YES
70,20,0,0,10,1-OFF,NO
70,20,0,0,10,1-OFF,YES
70,20,0,0,10,DCA,NO
70,20,0,0,10,DCA,YES
70,15,15,0,0,1-OFF,NO
70,15,15,0,0,1-OFF,YES
70,15,15,0,0,DCA,NO
70,15,15,0,0,DCA,YES
70,15,10,5,0,1-OFF,NO
70,15,10,5,0,1-OFF,YES
70,15,10,5,0,DCA,NO
70,15,10,5,0,DCA,YES
70,15,10,0,5,1-OFF,NO
70,15,10,0,5,1-OFF,YES
70,15,10,0,5,DCA,NO
70,15,10,0,5,DCA,YES
70,15,5,10,0,1-OFF,NO
70,15,5,10,0,1-OFF,YES
70,15,5,10,0,DCA,NO
70,15,5,10,0,DCA,YES
70,15,5,5,5,1-OFF,NO
70,15,5,5,5,1-OFF,YES
70,15,5,5,5,DCA,NO
70,15,5,5,5,DCA,YES
70,15,5,0,10,1-OFF,NO
70,15,5,0,10,1-OFF,YES
70,15,5,0,10,DCA,NO
70,15,5,0,10,DCA,YES
70,15,0,15,0,1-OFF,NO
70,15,0,15,0,1-OFF,YES
70,15,0,15,0,DCA,NO
70,15,0,15,0,DCA,YES
70,15,0,10,5,1-OFF,NO
70,15,0,10,5,1-OFF,YES
70,15,0,10,5,DCA,NO
70,15,0,10,5,DCA,YES
70,15,0,5,10,1-OFF,NO
70,15,0,5,10,1-OFF,YES
70,15,0,5,10,DCA,NO
70,15,0,5,10,DCA,YES
70,15,0,0,15,1-OFF,NO
70,15,0,0,15,1-OFF,YES
70,15,0,0,15,DCA,NO
70,15,0,0,15,DCA,YES
70,10,20,0,0,1-OFF,NO
70,10,20,0,0,1-OFF,YES
70,10,20,0,0,DCA,NO
70,10,20,0,0,DCA,YES
70,10,15,5,0,1-OFF,NO
70,10,15,5,0,1-OFF,YES
70,10,15,5,0,DCA,NO
70,10,15,5,0,DCA,YES
70,10,15,0,5,1-OFF,NO
70,10,15,0,5,1-OFF,YES
70,10,15,0,5,DCA,NO
70,10,15,0,5,DCA,YES
70,10,10,10,0,1-OFF,NO
70,10,10,10,0,1-OFF,YES
70,10,10,10,0,DCA,NO
70,10,10,10,0,DCA,YES
70,10,10,5,5,1-OFF,NO
70,10,10,5,5,1-OFF,YES
70,10,10,5,5,DCA,NO
70,10,10,5,5,DCA,YES
70,10,10,0,10,1-OFF,NO
70,10,10,0,10,1-OFF,YES
70,10,10,0,10,DCA,NO
70,10,10,0,10,DCA,YES
70,10,5,15,0,1-OFF,NO
70,10,5,15,0,1-OFF,YES
70,10,5,15,0,DCA,NO
70,10,5,15,0,DCA,YES
70,10,5,10,5,1-OFF,NO
70,10,5,10,5,1-OFF,YES
70,10,5,10,5,DCA,NO
70,10,5,10,5,DCA,YES
70,10,5,5,10,1-OFF,NO
70,10,5,5,10,1-OFF,YES
70,10,5,5,10,DCA,NO
70,10,5,5,10,DCA,YES
70,10,5,0,15,1-OFF,NO
70,10,5,0,15,1-OFF,YES
70,10,5,0,15,DCA,NO
70,10,5,0,15,DCA,YES
70,10,0,20,0,1-OFF,NO
70,10,0,20,0,1-OFF,YES
70,10,0,20,0,DCA,NO
70,10,0,20,0,DCA,YES
70,10,0,15,5,1-OFF,NO
70,10,0,15,5,1-OFF,YES
70,10,0,15,5,DCA,NO
70,10,0,15,5,DCA,YES
70,10,0,10,10,1-OFF,NO
70,10,0,10,10,1-OFF,YES
70,10,0,10,10,DCA,NO
70,10,0,10,10,DCA,YES
70,10,0,5,15,1-OFF,NO
70,10,0,5,15,1-OFF,YES
70,10,0,5,15,DCA,NO
70,10,0,5,15,DCA,YES
70,10,0,0,20,1-OFF,NO
70,10,0,0,20,1-OFF,YES
70,10,0,0,20,DCA,NO
70,10,0,0,20,DCA,YES
70,5,25,0,0,1-OFF,NO
70,5,25,0,0,1-OFF,YES
70,5,25,0,0,DCA,NO
70,5,25,0,0,DCA,YES
70,5,20,5,0,1-OFF,NO
70,5,20,5,0,1-OFF,YES
70,5,20,5,0,DCA,NO
70,5,20,5,0,DCA,YES
70,5,20,0,5,1-OFF,NO
70,5,20,0,5,1-OFF,YES
70,5,20,0,5,DCA,NO
70,5,20,0,5,DCA,YES
70,5,15,10,0,1-OFF,NO
70,5,15,10,0,1-OFF,YES
70,5,15,10,0,DCA,NO
70,5,15,10,0,DCA,YES
70,5,15,5,5,1-OFF,NO
70,5,15,5,5,1-OFF,YES
70,5,15,5,5,DCA,NO
70,5,15,5,5,DCA,YES
70,5,15,0,10,1-OFF,NO
70,5,15,0,10,1-OFF,YES
70,5,15,0,10,DCA,NO
70,5,15,0,10,DCA,YES
70,5,10,15,0,1-OFF,NO
70,5,10,15,0,1-OFF,YES
70,5,10,15,0,DCA,NO
70,5,10,15,0,DCA,YES
70,5,10,10,5,1-OFF,NO
70,5,10,10,5,1-OFF,YES
70,5,10,10,5,DCA,NO
70,5,10,10,5,DCA,YES
70,5,10,5,10,1-OFF,NO
70,5,10,5,10,1-OFF,YES
70,5,10,5,10,DCA,NO
70,5,10,5,10,DCA,YES
70,5,10,0,15,1-OFF,NO
70,5,10,0,15,1-OFF,YES
70,5,10,0,15,DCA,NO
70,5,10,0,15,DCA,YES
70,5,5,20,0,1-OFF,NO
70,5,5,20,0,1-OFF,YES
70,5,5,20,0,DCA,NO
70,5,5,20,0,DCA,YES
70,5,5,15,5,1-OFF,NO
70,5,5,15,5,1-OFF,YES
70,5,5,15,5,DCA,NO
70,5,5,15,5,DCA,YES
70,5,5,10,10,1-OFF,NO
70,5,5,10,10,1-OFF,YES
70,5,5,10,10,DCA,NO
70,5,5,10,10,DCA,YES
70,5,5,5,15,1-OFF,NO
70,5,5,5,15,1-OFF,YES
70,5,5,5,15,DCA,NO
70,5,5,5,15,DCA,YES
70,5,5,0,20,1-OFF,NO
70,5,5,0,20,1-OFF,YES
70,5,5,0,20,DCA,NO
70,5,5,0,20,DCA,YES
70,5,0,25,0,1-OFF,NO
70,5,0,25,0,1-OFF,YES
70,5,0,25,0,DCA,NO
70,5,0,25,0,DCA,YES
70,5,0,20,5,1-OFF,NO
70,5,0,20,5,1-OFF,YES
70,5,0,20,5,DCA,NO
70,5,0,20,5,DCA,YES
70,5,0,15,10,1-OFF,NO
70,5,0,15,10,1-OFF,YES
70,5,0,15,10,DCA,NO
70,5,0,15,10,DCA,YES
70,5,0,10,15,1-OFF,NO
70,5,0,10,15,1-OFF,YES
70,5,0,10,15,DCA,NO
70,5,0,10,15,DCA,YES
70,5,0,5,20,1-OFF,NO
70,5,0,5,20,1-OFF,YES
70,5,0,5,20,DCA,NO
70,5,0,5,20,DCA,YES
70,5,0,0,25,1-OFF,NO
70,5,0,0,25,1-OFF,YES
70,5,0,0,25,DCA,NO
70,5,0,0,25,DCA,YES
70,0,30,0,0,1-OFF,NO
70,0,30,0,0,1-OFF,YES
70,0,30,0,0,DCA,NO
70,0,30,0,0,DCA,YES
70,0,25,5,0,1-OFF,NO
70,0,25,5,0,1-OFF,YES
70,0,25,5,0,DCA,NO
70,0,25,5,0,DCA,YES
70,0,25,0,5,1-OFF,NO
70,0,25,0,5,1-OFF,YES
70,0,25,0,5,DCA,NO
70,0,25,0,5,DCA,YES
70,0,20,10,0,1-OFF,NO
70,0,20,10,0,1-OFF,YES
70,0,20,10,0,DCA,NO
70,0,20,10,0,DCA,YES
70,0,20,5,5,1-OFF,NO
70,0,20,5,5,1-OFF,YES
70,0,20,5,5,DCA,NO
70,0,20,5,5,DCA,YES
70,0,20,0,10,1-OFF,NO
70,0,20,0,10,1-OFF,YES
70,0,20,0,10,DCA,NO
70,0,20,0,10,DCA,YES
70,0,15,15,0,1-OFF,NO
70,0,15,15,0,1-OFF,YES
70,0,15,15,0,DCA,NO
70,0,15,15,0,DCA,YES
70,0,15,10,5,1-OFF,NO
70,0,15,10,5,1-OFF,YES
70,0,15,10,5,DCA,NO
70,0,15,10,5,DCA,YES
70,0,15,5,10,1-OFF,NO
70,0,15,5,10,1-OFF,YES
70,0,15,5,10,DCA,NO
70,0,15,5,10,DCA,YES
70,0,15,0,15,1-OFF,NO
70,0,15,0,15,1-OFF,YES
70,0,15,0,15,DCA,NO
70,0,15,0,15,DCA,YES
70,0,10,20,0,1-OFF,NO
70,0,10,20,0,1-OFF,YES
70,0,10,20,0,DCA,NO
70,0,10,20,0,DCA,YES
70,0,10,15,5,1-OFF,NO
70,0,10,15,5,1-OFF,YES
70,0,10,15,5,DCA,NO
70,0,10,15,5,DCA,YES
